Event,Garden,1533.32
Pizza|Device,Sunshine,6638.29
Conversation|Agency,Backpack,6223.68
Bathroom|Phone,Ocean,7761.97
Event|Music,Painting,3236.53
Recommendation,Adventure,2276.49
Phone|Elevator,Bicycle,5001.38
Device,Sunrise,5006.09
Agency|Pizza,Chocolate,5917.15
Music|Conversation,Mountain,5037.08
Pizza|Event,Galaxy,5064.05
Conversation|Bathroom,Tea,6431.91
Recommendation|Device,Bookshelf,2557.79
Elevator|Phone,Rainbow,8934.99
Event|Music|Agency,Elephant,1006.88
Device|Pizza,Desert,6314.23
Conversation|Bathroom,Puzzle,4614.88
Phone|Recommendation,Carnival,4336.57
Elevator,Soccer,7830.83
Event|Pizza|Music,Fireworks,5146.41
Agency|Conversation,Telescope,8724.95
Device|Bathroom,Waterfall,6146.93
Event|Phone,Bamboo,1059.71
Recommendation,Universe,1550.01
Pizza|Agency,Lemonade,8035.19
Music|Elevator,Sculpture,5651.41
Device|Conversation,Exploration,777.28
Bathroom|Event,Pillow,5564.09
Phone|Recommendation,Ballet,1461.97
Pizza|Music,Raspberry,2006.98
Event|Agency|Device,Observatory,1156.09
Conversation|Elevator,Starfish,585.04
Pizza|Bathroom,Butterfly,3478.66
Recommendation|Phone,Cactus,3054.62
Event|Music,Hammock,1389.69
Agency,Seashell,7743.25
Conversation|Pizza|Device,Parrot,1367.98
Elevator|Bathroom,Enigma,6972.11
Phone,Sailing,2316.74
Music|Recommendation,Jazz,3425.07
Device|Event,Archipelago,4489.44
Pizza|Agency,Jigsaw,8497.79
Conversation|Elevator,Velvet,4633.33
Bathroom,Origami,2480.46
Phone|Music,Citadel,8653.25
Recommendation,Lighthouse,5894.72
Event|Pizza|Device,Saffron,2545.35
Agency|Conversation,Symphony,6715.81
Elevator|Bathroom|Phone,Quasar,4677.18
Music,Rainforest,4420.62
